sulfur,genotype,cpd,isotope,batch,value,relative
S1500,wt,RA,0_0,1,1.163648637,85.73800142
S1500,wt,RA,0_0,2,0.940269169,69.27933119
S1500,wt,RA,0_0,3,1.540593465,113.5114161
S1500,wt,RA,0_0,4,1.295748218,95.47114055
S1500,wt,RA,2_0,1,0.067857449,4.999758409
S1500,wt,RA,2_0,2,0.062190975,4.582250778
S1500,wt,RA,2_0,3,0.042451617,3.127848603
S1500,wt,RA,2_0,4,0.058249312,4.29182783
S1500,wt,RA,2_2,1,0.051270787,3.777647874
S1500,wt,RA,2_2,2,0.049287282,3.631502604
S1500,wt,RA,2_2,3,0.073611389,5.42371054
S1500,wt,RA,2_2,4,0.062712079,4.620645886
S1500,wt,RA,4_2,1,0.006857535,0.505265337
S1500,wt,RA,4_2,2,0.003738453,0.275450406
S1500,wt,RA,4_2,3,0.005374346,0.395983527
S1500,wt,RA,4_2,4,0.004997521,0.368218912
S1500,qko,RA,0_0,1,0.010205347,0.751933199
S1500,qko,RA,0_0,2,9.67567E-05,0.007129066
S1500,qko,RA,0_0,3,0.000112779,0.008309592
S1500,qko,RA,0_0,4,0.008276705,0.60983026
S1500,qko,RA,2_0,1,9.53771E-05,0.007027413
S1500,qko,RA,2_0,2,9.67567E-05,0.007129066
S1500,qko,RA,2_0,3,0.000112779,0.008309592
S1500,qko,RA,2_0,4,0.007551587,0.556403328
S1500,qko,RA,2_2,1,0.01289498,0.950106247
S1500,qko,RA,2_2,2,0.003047837,0.224565563
S1500,qko,RA,2_2,3,0.004105155,0.302469135
S1500,qko,RA,2_2,4,0.007644816,0.563272505
S1500,qko,RA,4_2,1,0.004845155,0.356992584
S1500,qko,RA,4_2,2,0.003009134,0.221713937
S1500,qko,RA,4_2,3,0.001432293,0.105531813
S1500,qko,RA,4_2,4,0.002972984,0.219050419
S150,wt,RA,0_0,1,0.059592351,4.390783386
S150,wt,RA,0_0,2,0.215360342,15.86781845
S150,wt,RA,0_0,3,0.186206754,13.71977285
S150,wt,RA,0_0,4,0.142690418,10.51347533
S150,wt,RA,2_0,1,0.000105064,0.007741155
S150,wt,RA,2_0,2,0.000101792,0.007500032
S150,wt,RA,2_0,3,0.018580507,1.369017657
S150,wt,RA,2_0,4,0.000102375,0.00754303
S150,wt,RA,2_2,1,0.005431813,0.400217738
S150,wt,RA,2_2,2,0.012153909,0.895503863
S150,wt,RA,2_2,3,0.003975652,0.292927281
S150,wt,RA,2_2,4,0.004207617,0.310018536
S150,wt,RA,4_2,1,0.005011557,0.369253116
S150,wt,RA,4_2,2,0.003501629,0.258001113
S150,wt,RA,4_2,3,0.00321348,0.236770238
S150,wt,RA,4_2,4,0.002313677,0.17047248
S150,qko,RA,0_0,1,0.006013154,0.443051133
S150,qko,RA,0_0,2,0.000109098,0.00803835
S150,qko,RA,0_0,3,0.004361452,0.321353137
S150,qko,RA,0_0,4,0.004778984,0.352117089
S150,qko,RA,2_0,1,0.022168571,1.633387386
S150,qko,RA,2_0,2,0.000109098,0.00803835
S150,qko,RA,2_0,3,9.98044E-05,0.007353619
S150,qko,RA,2_0,4,0.023576985,1.737159775
S150,qko,RA,2_2,1,0.003734248,0.275140572
S150,qko,RA,2_2,2,0.002116494,0.155943986
S150,qko,RA,2_2,3,9.98044E-05,0.007353619
S150,qko,RA,2_2,4,0.005414858,0.398968427
S150,qko,RA,4_2,1,0.002166089,0.159598157
S150,qko,RA,4_2,2,0.004156621,0.306261126
S150,qko,RA,4_2,3,0.002006068,0.147807736
S150,qko,RA,4_2,4,0.003109817,0.229132326
