sulfur,genotype,batch,value
S150,wt,1,4.4
S150,wt,2,4.5
S150,wt,3,4.4
S150,wt,4,3.8
S150,wt,5,4.5
S150,wt,6,4.3
S0,wt,1,2.6
S0,wt,2,2.6
S0,wt,3,2.5
S0,wt,4,3.1
S0,wt,5,2.7
S0,wt,6,3.6
allyl,wt,1,5
allyl,wt,2,4.5
allyl,wt,3,4.9
allyl,wt,4,4.8
allyl,wt,5,3.7
allyl,wt,6,4.5
4MTB,wt,1,5.2
4MTB,wt,2,4.5
4MTB,wt,3,4.3
4MTB,wt,4,4.5
4MTB,wt,5,4.3
4MTB,wt,6,4.9
Phe,wt,1,5.5
Phe,wt,2,5.3
Phe,wt,3,4.6
Phe,wt,4,4.5
Phe,wt,5,4.6
Phe,wt,6,5.3
I3G,wt,1,4.5
I3G,wt,2,4.6
I3G,wt,3,4
I3G,wt,4,4
I3G,wt,5,4.1
I3G,wt,6,4.2
