sulfur,genotype,cpd,batch,value
S1500,wt,Cys,1,0.363636364
S1500,wt,Cys,2,5.271317829
S1500,wt,Cys,3,7.076700436
S1500,wt,Cys,4,6.46041147
S150,wt,Cys,1,2.427184472
S150,wt,Cys,2,17.32233502
S150,wt,Cys,3,0.808407439
S150,wt,Cys,4,0.789889417
4MSB,wt,Cys,1,0.511770726
4MSB,wt,Cys,2,0.289351851
4MSB,wt,Cys,3,0.434404864
4MSB,wt,Cys,4,11.3610432
4MSB-34S,wt,Cys,1,44.76547843
4MSB-34S,wt,Cys,2,47.05882353
4MSB-34S,wt,Cys,3,38.68031854
4MSB-34S,wt,Cys,4,38.42353469
S1500,wt,GSH,1,4.838008464
S1500,wt,GSH,2,4.898665079
S1500,wt,GSH,3,4.894304008
S1500,wt,GSH,4,4.780120241
S150,wt,GSH,1,4.854714608
S150,wt,GSH,2,4.917370877
S150,wt,GSH,3,4.795632023
S150,wt,GSH,4,5.176497539
4MSB,wt,GSH,1,5.149829864
4MSB,wt,GSH,2,4.945078726
4MSB,wt,GSH,3,5.225222442
4MSB,wt,GSH,4,5.081548119
4MSB-34S,wt,GSH,1,38.91373255
4MSB-34S,wt,GSH,2,39.196552
4MSB-34S,wt,GSH,3,39.84886154
4MSB-34S,wt,GSH,4,37.4039657
S1500,wt,Met,1,5.246301662
S1500,wt,Met,2,6.830894185
S1500,wt,Met,3,5.103461428
S1500,wt,Met,4,5.414116477
S150,wt,Met,1,6.691692509
S150,wt,Met,2,9.522561196
S150,wt,Met,3,5.570359742
S150,wt,Met,4,8.011200318
4MSB,wt,Met,1,8.465815177
4MSB,wt,Met,2,6.801348742
4MSB,wt,Met,3,5.468599034
4MSB,wt,Met,4,6.194539249
4MSB-34S,wt,Met,1,27.00510907
4MSB-34S,wt,Met,2,30.43531538
4MSB-34S,wt,Met,3,26.65898912
4MSB-34S,wt,Met,4,26.63953283
